Experiment,Bee,Colonization,Diet,Condition,CFU,Bee_weight,Gut_weight
1,1,MF,P,MF_P,40,0.1121,0.034
1,2,MF,P,MF_P,40,0.124,0.0507
1,3,MF,P,MF_P,40,0.148,0.0436
1,4,MF,P,MF_P,40,0.126,0.0407
1,5,MF,P,MF_P,40,0.122,0.0118
1,6,MF,P,MF_P,40,0.123,0.0467
1,7,MF,P,MF_P,40,0.146,0.0502
1,8,MF,P,MF_P,40,0.15,0.0471
1,9,MF,P,MF_P,40,0.142,0.0655
1,10,MF,P,MF_P,40,0.113,0.0462
1,1,MF,SW,MF_SW,40,0.129,0.061
1,2,MF,SW,MF_SW,40,0.102,0.0265
1,3,MF,SW,MF_SW,40,0.127,0.0291
1,4,MF,SW,MF_SW,40,0.094,0.0214
1,5,MF,SW,MF_SW,40,0.145,0.0311
1,6,MF,SW,MF_SW,40,0.101,0.0313
1,7,MF,SW,MF_SW,40,0.098,0.0349
1,8,MF,SW,MF_SW,40,0.103,0.0412
1,9,MF,SW,MF_SW,40,0.097,0.0319
1,10,MF,SW,MF_SW,40,0.097,0.026
1,1,Sn_Gi,P,Sn_Gi_P,1.47E+07,0.156,0.0477
1,2,Sn_Gi,P,Sn_Gi_P,2.45E+06,0.141,0.0464
1,3,Sn_Gi,P,Sn_Gi_P,2.38E+06,0.085,0.0235
1,4,Sn_Gi,P,Sn_Gi_P,1.12E+06,0.124,0.0501
1,5,Sn_Gi,P,Sn_Gi_P,1.05E+07,0.132,0.0541
1,6,Sn_Gi,P,Sn_Gi_P,1.05E+06,0.111,0.0458
1,7,Sn_Gi,P,Sn_Gi_P,1.68E+07,0.148,0.0786
1,8,Sn_Gi,P,Sn_Gi_P,1.82E+07,0.128,0.0409
1,9,Sn_Gi,P,Sn_Gi_P,1.75E+06,0.098,0.0355
1,10,Sn_Gi,P,Sn_Gi_P,1.05E+07,0.126,0.0484
1,1,Sn_Gi,SW,Sn_Gi_SW,1.33E+07,0.115,0.0291
1,2,Sn_Gi,SW,Sn_Gi_SW,3.99E+07,0.137,0.0737
1,3,Sn_Gi,SW,Sn_Gi_SW,1.82E+07,0.112,0.0415
1,4,Sn_Gi,SW,Sn_Gi_SW,5.25E+07,0.118,0.0388
1,5,Sn_Gi,SW,Sn_Gi_SW,6.79E+07,0.172,0.065
1,6,Sn_Gi,SW,Sn_Gi_SW,3.78E+07,0.125,0.0345
1,7,Sn_Gi,SW,Sn_Gi_SW,6.09E+07,0.125,0.0613
1,8,Sn_Gi,SW,Sn_Gi_SW,1.89E+07,0.133,0.0434
1,9,Sn_Gi,SW,Sn_Gi_SW,5.67E+07,0.117,0.0485
1,10,Sn_Gi,SW,Sn_Gi_SW,4.62E+07,0.107,0.0443
1,1,Sn,P,Sn_P,3990000,0.138,0.0488
1,2,Sn,P,Sn_P,3990000,0.113,0.0585
1,3,Sn,P,Sn_P,1540000,0.131,0.035
1,4,Sn,P,Sn_P,1820000,0.121,0.0464
1,5,Sn,P,Sn_P,5740000,0.13,0.0727
1,6,Sn,P,Sn_P,5320000,0.11,0.0481
1,7,Sn,P,Sn_P,2240000,0.137,0.0624
1,8,Sn,P,Sn_P,4200000,0.123,0.033
1,9,Sn,P,Sn_P,3150000,0.123,0.0207
1,10,Sn,P,Sn_P,3290000,0.12,0.0329
1,1,Sn,SW,Sn_SW,532000,0.118,NA
1,2,Sn,SW,Sn_SW,553000,0.139,NA
1,3,Sn,SW,Sn_SW,1050000,0.123,0.0277
1,4,Sn,SW,Sn_SW,1260000,0.112,0.011
1,5,Sn,SW,Sn_SW,1750000,0.112,0.0261
1,6,Sn,SW,Sn_SW,686000,0.099,0.0252
1,7,Sn,SW,Sn_SW,6720000,0.093,0.0576
1,8,Sn,SW,Sn_SW,3360000,0.108,0.0364
1,9,Sn,SW,Sn_SW,6650000,0.113,0.0429
1,10,Sn,SW,Sn_SW,700000,0.09,0.0187
2,1,MF,P,MF_P,40,0.1486,0.0703
2,2,MF,P,MF_P,40,0.1227,0.0553
2,3,MF,P,MF_P,40,0.1196,0.0487
2,4,MF,P,MF_P,40,0.1119,0.04
2,5,MF,P,MF_P,40,0.1296,0.0514
2,6,MF,P,MF_P,40,0.1318,0.0574
2,7,MF,P,MF_P,40,0.1294,0.0598
2,8,MF,P,MF_P,40,0.1337,0.0582
2,9,MF,P,MF_P,40,0.1302,0.0563
2,10,MF,P,MF_P,40,0.1311,0.0522
2,1,MF,SW,MF_SW,40,0.1073,0.0236
