Replicate,Bee,Species,Colonization,Native,Colony_count,Dilution
1,1,Apis,ESL0251,Bombus,34,3
1,2,Apis,ESL0251,Bombus,26,2
1,3,Apis,ESL0251,Bombus,33,3
1,4,Apis,ESL0251,Bombus,10,2
1,5,Apis,ESL0251,Bombus,1,0
1,6,Apis,ESL0251,Bombus,20,2
1,7,Apis,ESL0251,Bombus,60,1
1,8,Apis,ESL0251,Bombus,1,0
1,9,Apis,ESL0251,Bombus,24,3
1,10,Apis,ESL0251,Bombus,65,2
1,12,Apis,ESL0251,Bombus,44,2
2,1,Apis,ESL0251,Bombus,4,0
2,2,Apis,ESL0251,Bombus,29,2
2,3,Apis,ESL0251,Bombus,12,1
2,4,Apis,ESL0251,Bombus,28,2
2,5,Apis,ESL0251,Bombus,14,3
2,6,Apis,ESL0251,Bombus,43,1
2,7,Apis,ESL0251,Bombus,32,2
2,8,Apis,ESL0251,Bombus,40,1
2,9,Apis,ESL0251,Bombus,8,1
2,10,Apis,ESL0251,Bombus,6,0
2,11,Apis,ESL0251,Bombus,59,2
2,12,Apis,ESL0251,Bombus,15,1
1,1,Apis,ESL0304,Apis,72,3
1,2,Apis,ESL0304,Apis,17,2
1,3,Apis,ESL0304,Apis,76,3
1,4,Apis,ESL0304,Apis,88,3
1,5,Apis,ESL0304,Apis,23,3
1,6,Apis,ESL0304,Apis,73,3
1,7,Apis,ESL0304,Apis,25,3
1,8,Apis,ESL0304,Apis,32,3
1,9,Apis,ESL0304,Apis,31,3
1,10,Apis,ESL0304,Apis,15,4
1,11,Apis,ESL0304,Apis,24,3
1,12,Apis,ESL0304,Apis,28,3
2,2,Apis,ESL0304,Apis,42,2
2,5,Apis,ESL0304,Apis,5,2
2,6,Apis,ESL0304,Apis,51,2
2,7,Apis,ESL0304,Apis,12,3
2,8,Apis,ESL0304,Apis,82,3
2,9,Apis,ESL0304,Apis,33,3
2,10,Apis,ESL0304,Apis,47,2
2,11,Apis,ESL0304,Apis,21,3
2,12,Apis,ESL0304,Apis,40,3
1,1,Apis,ESL0323,Apis,34,2
1,2,Apis,ESL0323,Apis,54,2
1,3,Apis,ESL0323,Apis,60,3
1,4,Apis,ESL0323,Apis,46,2
1,5,Apis,ESL0323,Apis,21,2
1,6,Apis,ESL0323,Apis,47,2
1,7,Apis,ESL0323,Apis,41,2
1,8,Apis,ESL0323,Apis,62,2
1,9,Apis,ESL0323,Apis,42,2
1,10,Apis,ESL0323,Apis,28,2
1,11,Apis,ESL0323,Apis,42,2
1,12,Apis,ESL0323,Apis,39,2
2,1,Apis,ESL0323,Apis,23,2
2,2,Apis,ESL0323,Apis,38,2
2,3,Apis,ESL0323,Apis,20,2
2,4,Apis,ESL0323,Apis,73,1
2,5,Apis,ESL0323,Apis,25,2
2,6,Apis,ESL0323,Apis,31,2
2,7,Apis,ESL0323,Apis,10,2
2,8,Apis,ESL0323,Apis,22,2
2,9,Apis,ESL0323,Apis,175,1
2,10,Apis,ESL0323,Apis,150,1
2,11,Apis,ESL0323,Apis,19,3
2,12,Apis,ESL0323,Apis,11,3
1,1,Apis,ESL0897,Bombus,44,0
1,2,Apis,ESL0897,Bombus,32,2
1,3,Apis,ESL0897,Bombus,1,0
1,4,Apis,ESL0897,Bombus,31,0
1,5,Apis,ESL0897,Bombus,1,0
1,6,Apis,ESL0897,Bombus,1,0
1,7,Apis,ESL0897,Bombus,1,0
1,8,Apis,ESL0897,Bombus,67,0
1,9,Apis,ESL0897,Bombus,43,2
1,10,Apis,ESL0897,Bombus,1,0
1,11,Apis,ESL0897,Bombus,1,0
1,12,Apis,ESL0897,Bombus,1,0
2,1,Apis,ESL0897,Bombus,54,2
2,2,Apis,ESL0897,Bombus,1,0
2,3,Apis,ESL0897,Bombus,1,0
2,4,Apis,ESL0897,Bombus,1,0
2,8,Apis,ESL0897,Bombus,3,1
2,9,Apis,ESL0897,Bombus,23,1
2,10,Apis,ESL0897,Bombus,42,1
2,11,Apis,ESL0897,Bombus,1,0
2,12,Apis,ESL0897,Bombus,13,1
1,1,Apis,MF,None,1,0
1,2,Apis,MF,None,1,0
1,3,Apis,MF,None,1,0
1,4,Apis,MF,None,1,0
1,5,Apis,MF,None,1,0
1,6,Apis,MF,None,1,0
1,7,Apis,MF,None,1,0
1,8,Apis,MF,None,1,0
1,9,Apis,MF,None,1,0
1,10,Apis,MF,None,1,0
1,11,Apis,MF,None,1,0
1,12,Apis,MF,None,1,0
2,1,Apis,MF,None,1,0
2,2,Apis,MF,None,1,0
2,3,Apis,MF,None,1,0
2,4,Apis,MF,None,1,0
2,5,Apis,MF,None,1,0
2,6,Apis,MF,None,1,0
2,7,Apis,MF,None,1,0
2,8,Apis,MF,None,1,0
2,9,Apis,MF,None,1,0
2,10,Apis,MF,None,1,0
2,11,Apis,MF,None,1,0
2,12,Apis,MF,None,1,0
1,1,Apis,wkb2,Apis,26,3
1,2,Apis,wkb2,Apis,19,3
1,3,Apis,wkb2,Apis,24,3
1,4,Apis,wkb2,Apis,94,2
1,5,Apis,wkb2,Apis,17,3
1,6,Apis,wkb2,Apis,43,2
1,7,Apis,wkb2,Apis,62,3
1,8,Apis,wkb2,Apis,21,3
1,9,Apis,wkb2,Apis,43,2
1,10,Apis,wkb2,Apis,23,4
1,11,Apis,wkb2,Apis,52,3
1,12,Apis,wkb2,Apis,22,3
2,1,Apis,wkb2,Apis,23,1
2,2,Apis,wkb2,Apis,17,2
2,3,Apis,wkb2,Apis,16,3
2,4,Apis,wkb2,Apis,98,3
2,5,Apis,wkb2,Apis,27,3
2,6,Apis,wkb2,Apis,11,3
