Name,Data_file,Type,Level,Date,Response,RT,Ratio_3,Metabolite,Sample,Cage,Bee_exp,Extraction,Sample_ID,Condition,Food,Smet_Batch,SCFA_Batch
Sample 8,SUGAR_CAL1_J,Cal,J,2020-02-20T14:22:00Z,1,NA,NA,1_5-Anhydroglucitol,SUGAR_CAL1_J,J,_,L,_,J,J,A,NA
Sample 9,SUGAR_CAL2_I,Cal,I,2020-02-20T14:59:00Z,1,NA,NA,1_5-Anhydroglucitol,SUGAR_CAL2_I,I,_,L,_,I,I,A,NA
Sample 10,SUGAR_CAL3_H,Cal,H,2020-02-20T15:35:00Z,1,NA,NA,1_5-Anhydroglucitol,SUGAR_CAL3_H,H,_,L,_,Gi_P,P,A,NA
Sample 11,SUGAR_CAL4_F,Cal,F,2020-02-20T16:24:00Z,1,NA,NA,1_5-Anhydroglucitol,SUGAR_CAL4_F,F,_,L,_,Sn_Gi_P,P,A,NA
Sample 12,SUGAR_CAL5_E,Cal,E,2020-02-20T17:00:00Z,1,NA,NA,1_5-Anhydroglucitol,SUGAR_CAL5_E,E,_,L,_,Sn_Gi_SW,SW,A,NA
Sample 13,SUGAR_CAL6_D,Cal,D,2020-02-20T17:37:00Z,2,29.123,NA,1_5-Anhydroglucitol,SUGAR_CAL6_D,D,_,L,_,Sn_P,P,A,NA
Sample 40b,SUGAR_CAL7_Cb,Cal,C,2020-02-27T02:17:00Z,35,29.133,NA,1_5-Anhydroglucitol,SUGAR_CAL7_C,C,_,L,_,Sn_SW,SW,C,NA
Sample 41b,SUGAR_CAL8_Db,Cal,B,2020-02-27T02:53:00Z,1,NA,NA,1_5-Anhydroglucitol,SUGAR_CAL8_D,D,_,L,_,Sn_P,P,C,NA
Sample 59,SUGAR_CAL9_I,Cal,I,2020-02-27T18:59:00Z,84,29.099,NA,1_5-Anhydroglucitol,SUGAR_CAL9_I,I,_,L,_,I,I,D,NA
Sample 62,SUGAR_CAL9_G,Cal,G,2020-02-27T20:59:00Z,96,29.105,NA,1_5-Anhydroglucitol,SUGAR_CAL9_G,G,_,L,_,Gi_SW,SW,D,NA
Sample 65,SUGAR_CAL9_H,Cal,H,2020-02-27T22:59:00Z,16,29.131,NA,1_5-Anhydroglucitol,SUGAR_CAL9_H,H,_,L,_,Gi_P,P,D,NA
Sample 81,SUGAR_CAL10_B,Cal,B,2020-03-06T17:40:00Z,309,29.107,NA,1_5-Anhydroglucitol,SUGAR_CAL10_B,B,_,L,_,MD_P,P,F,NA
Sample 93,SUGAR_CAL11_C,Cal,C,2020-03-07T01:40:00Z,1,NA,NA,1_5-Anhydroglucitol,SUGAR_CAL11_C,C,_,L,_,Sn_SW,SW,F,NA
Sample 99,SUGAR_CAL12_D,Cal,D,2020-03-10T17:12:00Z,44,29.1,NA,1_5-Anhydroglucitol,SUGAR_CAL12_D,D,_,L,_,Sn_P,P,G,NA
Sample 111,SUGAR_CAL13_E,Cal,E,2020-03-11T00:50:00Z,108,29.123,NA,1_5-Anhydroglucitol,SUGAR_CAL13_E,E,_,L,_,Sn_Gi_SW,SW,G,NA
NA,MIX_A-H-PE-STD_E-2,CC,NA,2020-03-11T10:49:00Z,2563,29.105,NA,1_5-Anhydroglucitol,MIX_A-H-PE-STD_E-2,-,E,_,-2,-,-,G,NA
Sample 7,QC2_PE10,PE,10,2020-02-20T12:59:00Z,257,29.115,NA,1_5-Anhydroglucitol,QC2_PE10,E,P,_,10,PE,PE,A,NA
Sample 42b,QC4_PE10b,PE,10,2020-02-27T03:29:00Z,1525,29.107,NA,1_5-Anhydroglucitol,QC4_PE10,E,P,_,10,PE,PE,C,NA
Sample 68,QC5_PE10,PE,10,2020-02-28T00:59:00Z,1601,29.107,NA,1_5-Anhydroglucitol,QC5_PE10,E,P,_,10,PE,PE,D,NA
Sample 87,QC6_PE_10,PE,10,2020-03-06T21:40:00Z,1405,29.107,NA,1_5-Anhydroglucitol,QC6_PE_10,_,E,P,10,PE,PE,F,NA
Sample 105,QC7_PE_10,PE,10,2020-03-10T21:01:00Z,1634,29.107,NA,1_5-Anhydroglucitol,QC7_PE_10,_,E,P,10,PE,PE,G,NA
Sample 122,QC8_PE10,PE,10,2020-03-12T20:55:00Z,35,29.122,NA,1_5-Anhydroglucitol,QC8_PE10,E,P,_,10,PE,PE,H,NA
Sample 145,QC9_PE10,PE,10,2020-05-05T13:07:00Z,6,29.2,NA,1_5-Anhydroglucitol,QC9_PE10,E,P,_,10,PE,PE,I,NA
Sample 5b,A4ED3,Sample,NA,2020-02-20T09:25:00Z,11236,29.114,NA,1_5-Anhydroglucitol,A4ED3,D,E,A,3,Sn_P,P,A,A
Sample 2,A1EC8,Sample,NA,2020-02-20T10:22:00Z,157,29.115,NA,1_5-Anhydroglucitol,A1EC8,C,E,A,8,Sn_SW,SW,A,A
Sample 3,A2DG2,Sample,NA,2020-02-20T10:58:00Z,22,29.089,NA,1_5-Anhydroglucitol,A2DG2,G,D,A,2,Gi_SW,SW,A,A
Sample 4,A3EG6,Sample,NA,2020-02-20T11:34:00Z,35,29.123,NA,1_5-Anhydroglucitol,A3EG6,G,E,A,6,Gi_SW,SW,A,A
Sample 15,A6FC5,Sample,NA,2020-02-20T19:02:00Z,8,29.139,NA,1_5-Anhydroglucitol,A6FC5,C,F,A,5,Sn_SW,SW,A,A
Sample 16,A7EG1,Sample,NA,2020-02-20T19:38:00Z,1,NA,NA,1_5-Anhydroglucitol,A7EG1,G,E,A,1,Gi_SW,SW,A,A
Sample 17,A8FE1,Sample,NA,2020-02-20T20:27:00Z,1,NA,NA,1_5-Anhydroglucitol,A8FE1,E,F,A,1,Sn_Gi_SW,SW,A,A
Sample 18,A9DG8,Sample,NA,2020-02-20T21:03:00Z,1,NA,NA,1_5-Anhydroglucitol,A9DG8,G,D,A,8,Gi_SW,SW,A,A
Sample 20,A11EF5,Sample,NA,2020-02-20T22:28:00Z,1231,29.115,NA,1_5-Anhydroglucitol,A11EF5,F,E,A,5,Sn_Gi_P,P,A,A
Sample 21,A12FF5,Sample,NA,2020-02-20T23:05:00Z,765,29.115,NA,1_5-Anhydroglucitol,A12FF5,F,F,A,5,Sn_Gi_P,P,A,A
Sample 22,A13FG1,Sample,NA,2020-02-20T23:41:00Z,25,29.137,NA,1_5-Anhydroglucitol,A13FG1,G,F,A,1,Gi_SW,SW,A,B
Sample 23,A14EE6,Sample,NA,2020-02-21T00:30:00Z,4,29.097,NA,1_5-Anhydroglucitol,A14EE6,E,E,A,6,Sn_Gi_SW,SW,A,B
Sample 26,A17DA6,Sample,NA,2020-02-21T02:31:00Z,1,NA,NA,1_5-Anhydroglucitol,A17DA6,A,D,A,6,MD_SW,SW,A,B
Sample 27,A18DB9,Sample,NA,2020-02-21T03:07:00Z,420,29.115,NA,1_5-Anhydroglucitol,A18DB9,B,D,A,9,MD_P,P,A,B
Sample 28,A19FG6,Sample,NA,2020-02-21T03:44:00Z,154,29.133,NA,1_5-Anhydroglucitol,A19FG6,G,F,A,6,Gi_SW,SW,A,B
Sample 14b,A5EA4b,Sample,NA,2020-02-21T05:45:00Z,1,NA,NA,1_5-Anhydroglucitol,A5EA4,A,E,A,4,MD_SW,SW,A,A
Sample 31,A20FD6,Sample,NA,2020-02-24T13:33:00Z,2,29.102,NA,1_5-Anhydroglucitol,A20FD6,D,F,A,6,Sn_P,P,A,B
