Sample_Name,Data File,Acq. Date-Time,Type,Vial,"Propylene glycol, 2TMS derivative ","Propanoic acid, 2-(methoxyimino)-, trimethylsilyl ester ","Lactic Acid, 2TMS derivative ","3-Hydroxybutyric acid, 2TMS derivative ","Urea, 3TMS derivative ","L-Norvaline, 2TMS derivative ","Urea, 2TMS derivative ","L-Norleucine, 2TMS derivative ","2-Butenedioic acid, (E)-, 2TMS derivative ",Unknown 8.6806 ,"Malic acid, 3TMS derivative ","Pentanedioic acid, 2-(methoxyimino)-, bis(trimethylsilyl) ester ","Pentanedioic acid, 2-(methoxyimino)-, bis(trimethylsilyl) ester_2 ","Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester ","Tartaric acid, 4TMS derivative ",Unknown 14.7511 ,Unknown 15.1548 ,Unknown 15.6174 ,Unknown 15.8049 ,"Isocitric acid lactone, 2TMS derivative ","Vanillic Acid, 2TMS derivative ","9H-Purin-6-ol, 2TMS derivative ","Citric acid, 4TMS derivative ","Pentaric acid, 2,3-dideoxy-4-O-(trimethylsilyl)-3-[[(trimethylsilyl)oxy]carbonyl]-, bis(trimethylsilyl) ester ","Caffeic acid, 3TMS derivative ","Kynurenine, 3TMS derivative "
1_Bee_2_1_0d_c,1_Bee_2_1_0d_c.D,7/5/2023 19:22,Bee,2,1097001,,8714,1671253,16415,8924349,26827,8781383,277033,507,667216,2100,95180,26482,1255987,135,114,52,,101,2562803,7737,325637,18253,,1605
10_Bee_2_2_0d,10_Bee_2_2_0d.D,7/6/2023 0:49,Bee,11,1277583,,7584,1218334,51299,6701427,182487,6475377,69128,2178,160252,2950,87092,63944,1191367,325,120,91,338,177,2090751,25368,301256,24549,509,5926
11_Bee_2_2_6d,11_Bee_2_2_6d.D,7/6/2023 1:24,Bee,12,5010444,,18153,2262116,66768,10677525,133870,10345121,143036,901,316036,4837,137903,572610,2148104,138,98,57,874,1987,3270323,33268,859407,116309,1713,98394
14_Standards_A_2,14_Standards_A_2.D,7/6/2023 3:18,Standard,15,41034933,1291877,7273,1822622,57879,7393198,95984,7108850,55777723,45053,12089047,331,2829,1047,1961116,822567,301870,34999,1665110,50,1297944,10456,74410,3021,4971249,619563
15_Standards_B_2,15_Standards_B_2.D,7/6/2023 3:53,Standard,16,16381299,510947,5694,1918859,457790,5633174,498392,4374920,41054639,30092,400856,193,5313,658,1635692,791176,257520,23583,1234138,153,1414908,26559,392826,696,1361511,2759391
16_Standards_C_2,16_Standards_C_2.D,7/6/2023 4:28,Standard,17,32523920,3069390,7473,2342859,1237427,6894984,3910881,6584129,34355543,83064,3261184,364,4172,1366,1913706,997766,415898,93629,4285615,102,2397008,4649,1659803,355,1076421,1650638
17_Bee_2_3_0d,17_Bee_2_3_0d.D,7/6/2023 5:02,Bee,18,783113,,19388,2086832,51612,10670257,93065,10450530,75191,2851,148768,2153,65085,196884,1623148,770,281,87,1255,251,3128203,8912,458160,76332,344,5336
18_Bee_2_3_6d,18_Bee_2_3_6d.D,7/6/2023 5:37,Bee,19,5178569,,21507,1801235,73014,8700037,343376,8307016,253021,2937,536160,3420,78056,791963,1646347,578,,1283,375,1805,2727531,41085,1437951,354483,410,37663
2_Bee_2_1_6d,2_Bee_2_1_6d.D,7/5/2023 19:58,Bee,3,6948321,,11323,1879463,21547,9221696,84142,8884030,76596,1279,159342,2231,77051,315929,1919073,38,,428,,,2709593,14643,353709,15373,542,23551
21_Pollen_3,21_Pollen_3.D,7/6/2023 7:32,Pollen,10,23655644,,70176,856314,,4560616,1189,4774044,208033,3068,270342,,2208,7446,599911,465,432,1147,,,1707292,34890,124085,37123,98279,
