Sample_Name,Data File,Acq. Date-Time,Type,Vial,"Propylene glycol, 2TMS derivative ","Lactic Acid, 2TMS derivative ","L-Alanine, 2TMS derivative ","Oxalic acid, 2TMS derivative ","3-Hydroxybutyric acid, 2TMS derivative ","Urea, 3TMS derivative ",".beta.-Alanine, 2TMS derivative ","Valine, 2TMS derivative ","L-Norvaline, 2TMS derivative ","Urea, 2TMS derivative ","L-Isoleucine, 2TMS derivative ","L-Proline, 2TMS derivative ","Glycine, 3TMS derivative ","Butanedioic acid, 2TMS derivative ","L-Norleucine, 2TMS derivative ","Glyceric acid, 3TMS derivative ","Pipecolic acid, 2TMS derivative ","Uracil, 2TMS derivative ","2-Butenedioic acid, (E)-, 2TMS derivative ","Serine, 3TMS derivative ","L-Threonine, 3TMS derivative ","Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]- ","Pentanedioic acid, 2TMS derivative ",".beta.-Alanine, 3TMS derivative ","Diethanolamine, 3TMS derivative ","Timonacic, 2TMS derivative ","Malic acid, 3TMS derivative ","Erythritol, 4TMS derivative ","3,7-dioxa-2,8-disilanonane, 2,2,8,8-tetramethyl-5,5-bis[[(trimethylsilyl)oxy]methyl]- ","Erythritol, 4TMS derivative_2 ","L-Aspartic acid, 3TMS derivative ","L-Methionine, 2TMS derivative ","L-Hydroxyproline, (E)-, 3TMS derivative ","L-5-Oxoproline, , 2TMS derivative ","2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv., (, (R*,R*)-) ","Pentanedioic acid, 2-(methoxyimino)-, bis(trimethylsilyl) ester ","Cysteine, 3TMS derivative ","2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv., (, (R*,R*)-)_2 ","Pentanedioic acid, 2-(methoxyimino)-, bis(trimethylsilyl) ester_2 ","Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester ","L-Ornithine, 3TMS derivative ","L-Glutamic acid, 3TMS derivative ","L-Phenylalanine, 2TMS derivative ","Triethanolamine, 3TMS derivative ","3-Hydroxybenzoic acid, 2TMS derivative ","Tartaric acid, 4TMS derivative ",1-(2-(3-Cyclohexenyl)ethyl)silatrane ,"Ribonic acid, 2-desoxy-tetrakis-O-(trimethylsilyl)- ","d-Ribose, 2,3,4,5-tetrakis-O-(trimethylsilyl)-, O-methyloxime ","Pentanedioic acid, 2,3-bis[(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester, (R*,S*)- ","Isocitric acid lactone, 2TMS derivative ","Xylitol, 5TMS derivative ","Xylitol, 5TMS derivative_2 ","Putrescine, 4TMS derivative ","Aconitic acid, (Z)-, 3TMS derivative ","2-Keto-l-gluconic acid, penta(O-trimethylsilyl)- ","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester ","Vanillic Acid, 2TMS derivative ","L-Glutamine, 3TMS derivative ","1,3-Dioxolane ","Phosphorylethanolamine, 4TMS derivative ","9H-Purin-6-ol, 2TMS derivative ","Citric acid, 4TMS derivative ","Protocatechoic acid, 3TMS derivative ","Pentaric acid, 2,3-dideoxy-4-O-(trimethylsilyl)-3-[[(trimethylsilyl)oxy]carbonyl]-, bis(trimethylsilyl) ester ","Cadaverine, 4TMS derivative ","Methylcitric acid, tetrakis(O-trimethylsilyl)- ",Quininic acid (5TMS) ,"D-Pinitol, pentakis(trimethylsilyl) ether ","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime ","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime_2 ","Neo-Inositol, 6TMS derivative ","D-(+)-Talose, pentakis(trimethylsilyl) ether, methyloxime (syn) ","D-Allose, pentakis(trimethylsilyl) ether, methyloxime (anti) ","L-Lysine, 4TMS derivative ","D-Glucitol, 6TMS derivative ","L-Tyrosine, 3TMS derivative ","1,2,3,4,5,6-Hexa-O-trimethelsilyl-myo-inositol ",(E)-bis(trimethylsilyl) dec-2-enedioate ,"D-Gluconic acid, 6TMS derivative ","Scyllo-Inositol, 6TMS derivative ","N-Acetyl-D-glucosamine, tetrakis(trimethylsilyl) ether, methyloxime (syn) ","N-Acetyl-D-glucosamine, tetrakis(trimethylsilyl) ether, methyloxime (syn)_2 ","1,2,3,4,5,6-Hexa-O-trimethelsilyl-myo-inositol_2 ","9H-Purine, 9-(trimethylsilyl)-2,6,8-tris[(trimethylsilyl)oxy]- ","7H-Purin-2-amine, 7-methyl-N-(trimethylsilyl)-6-[(trimethylsilyl)oxy]- ","Kynurenine, 3TMS derivative ","L-Tryptophan, 3TMS derivative ","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester_2 ","Thymidine, 3TMS derivative ","2'-Deoxyinosine, tris(trimethylsilyl) derivative ","Inosine, 4TMS derivative ","Sucrose, 8TMS derivative ","Adenosine, 4TMS derivative "
18_Bee_2_3_6d,18_Bee_2_3_6d.D,7/6/2023 5:37,Bee,19,5178569,249980,3615349,126116,707656,73014,207602,3130113,8700037,349589,4133601,7664995,1317066,458041,8307016,233750,484152,106216,253021,1994237,857040,497554,156504,790424,387084,50427,522404,1507372,240757,1720459,1822565,1150803,4050113,3803510,862899,3420,147873,203824,76968,790614,210757,3552509,3088205,27933,113022,1646347,142934,192938,176736,59722,28025,522572,351526,4234714,105998,258432,572808,2727531,409192,386925,237308,41085,1437150,59350,351844,333045,166442,287178,192296,19804717,15642405,112818,33730249,11330205,892545,2125778,6473393,185984,182751,3805798,146518,4148381,5104074,2581807,13588263,30116,37606,889422,37131,216964,865604,277633,835105,525119
43_Bee_2_6_6d,43_Bee_2_6_6d.D,7/7/2023 5:15,Bee,22,1990014,116765,3642834,140721,806886,61890,87931,3332955,9144299,472488,4625313,6879096,1515200,411728,8860760,136747,307603,108953,195421,2084238,887793,573123,72260,798963,394784,61619,438680,2279900,232528,3425622,1062735,1280848,2298365,3039507,769389,3671,99890,237314,98551,842088,140534,2773027,3278501,37375,56529,1814150,153548,213360,152653,105163,40430,893833,683304,3523361,71010,236650,606569,2966243,220054,283145,191424,29642,1220801,41068,264774,193675,171151,227290,145674,21539129,17411078,125336,35581646,11988022,741883,3421059,6537963,257222,144404,1838501,285341,4477522,7420260,2049867,13548407,42865,65770,633860,66561,132921,841769,222871,579831,614224
36_Bee_2_5_6d,36_Bee_2_5_6d.D,7/7/2023 1:01,Bee,15,1466025,160831,3476202,178179,810944,37968,87090,2893602,9757932,243979,4154765,6499344,1337876,272333,9363030,90791,442201,117586,140342,1877225,815607,499746,244578,708590,413211,67466,282750,1694147,235634,2147978,1278481,1147545,2752335,2973953,785001,4513,111059,180081,108407,767814,175689,2471886,3013737,25959,30545,1866121,179784,175718,165189,60407,35552,656374,813740,3864275,74656,207832,348818,3005920,496686,314214,236015,20637,1108220,48398,200515,207460,229282,273113,217702,15273980,12022969,78020,26143161,7807578,763611,2444416,6120402,160068,87105,3523412,125728,4973236,7963698,904143,14136924,39248,99118,748687,30728,137195,666107,223063,384086,679709
54_Bee_2_7_6d,54_Bee_2_7_6d.D,7/7/2023 20:12,Bee,11,4060142,133126,4965879,195229,873007,36321,88267,3573169,10187472,374071,5006429,13781519,1886775,219455,9502281,73235,413178,75946,86577,2511150,1047135,228288,52452,740515,445411,45942,186950,1088833,287839,1569608,1221310,1446623,2472439,3089990,524387,3155,81326,170719,69030,340419,182604,3134768,3470464,14925,40090,2074539,86806,55013,112222,24656,31348,570550,328306,3960996,32390,154276,561336,3089994,400764,206571,249494,19891,995582,19271,176353,219728,98707,65649,99764,6801183,4887066,132647,15145199,3407188,1052954,1356662,6965770,177113,100028,789580,230079,2694433,5420169,1854503,15276387,30136,247217,670007,34177,43699,676043,182349,1845330,711462
30_Bee_2_4_6d,30_Bee_2_4_6d.D,7/6/2023 21:21,Bee,9,1206148,117771,3692933,214333,722837,35590,85382,3119158,9409299,251366,4427816,7307892,1389158,172792,9141542,84360,285479,73044,83491,1917912,796575,383589,98664,686004,392158,73647,175575,898133,241639,1028992,916512,1345707,1729327,2449974,658885,2977,100747,161878,67765,458045,108198,2220554,3325984,18044,16988,1870077,136223,87469,57316,44078,23412,407829,239476,3018986,39322,143654,492673,2787816,402194,170517,233621,12339,947690,24111,172103,163344,111739,327976,159107,3896512,2739218,68451,8763133,1687416,649543,1082721,6412914,121455,67322,1160463,152329,2154779,4176517,1283808,10629607,38649,48117,790010,35228,152046,895316,107055,15548642,636837
11_Bee_2_2_6d,11_Bee_2_2_6d.D,7/6/2023 1:24,Bee,12,5010444,207753,5796215,204801,894227,66768,66112,4809610,10677525,338153,6768168,10990430,1913328,288917,10345121,43930,308469,93424,143036,2893562,1276245,473992,68756,978729,486766,176051,316256,1808945,281364,2704325,1531627,1941539,2120861,3791573,796988,4837,292834,166307,137523,572507,156479,4132521,4660680,18319,39132,2148104,176162,155692,143339,15038,39823,730666,578849,3769134,41691,168159,667011,3270323,306587,378248,353851,33268,856062,27057,116405,202930,109453,177500,125261,22358191,17557131,86867,35605342,12285216,963977,3027966,9098164,122661,72314,1342696,156874,2945519,4996568,1522948,13492479,52172,98585,1324326,50084,252022,1066632,342666,807927,885292
67_Bee_2_8_6d,67_Bee_2_8_6d.D,7/8/2023 4:05,Bee,24,8799836,152987,5810428,237315,997021,45072,149218,4370580,11586944,484469,5752066,19164748,2278515,234841,10661532,56512,534501,89442,126184,3094972,1214257,196519,138145,1056080,581049,76210,302864,1513759,356070,2391319,1470467,1672906,3340898,3506177,641247,4130,118083,165593,114376,411544,205729,3758012,4075451,16291,20752,2580792,89254,94345,142666,39004,39759,861411,648488,5077468,24994,130643,626442,3486463,471307,274989,268953,21897,595240,18326,69583,335723,133131,84873,150622,15871982,12035936,109133,25709406,7185102,1100929,2075666,8282340,200168,182116,1958778,305353,4489188,6495995,1495420,12235034,30704,118489,710615,34809,45695,777990,202992,600695,785278
35_Bee_2_5_0d,35_Bee_2_5_0d.D,7/7/2023 0:26,Bee,14,678219,117213,2838630,157723,652972,27051,15769,3114363,9584163,97790,3307087,9486839,2295684,96016,9389602,6044,64823,36555,212310,1353095,666439,101173,6351,778886,322236,209017,570635,236711,914865,87342,996606,822968,535987,2973243,75583,6334,190418,27702,204267,73405,117316,2485310,2173871,11366,6738,1406698,61218,15066,15632,523,10936,33150,7258,2687053,8304,11365,158149,2589861,244719,152104,259481,6375,462164,4270,50901,98996,7256,23439,8738,3640856,2596425,83955,12670233,2692869,940783,434147,5945099,30906,648,77445,94496,11440,40488,5091469,7517482,15043,3242,517802,33991,3407,355289,383255,11085415,77178
17_Bee_2_3_0d,17_Bee_2_3_0d.D,7/6/2023 5:02,Bee,18,783113,224871,730737,183011,797430,51612,47642,304507,10670257,214857,148487,2419044,656553,103176,10450530,20628,153151,24396,75191,171616,31812,129220,12822,409434,387954,1795,148219,405015,1057973,293118,197757,20465,725713,505333,248176,2153,5571,40986,64435,196619,11466,476973,51795,6487,21844,1623148,42978,38062,14104,568,10847,78509,24782,1128703,7227,32815,235841,3128203,7351,72578,132538,8912,458819,11944,73349,40673,9686,97644,82258,799392,519695,24966,1582182,202711,34993,525126,144337,46787,1687,26411,49296,6995,20607,654950,6363101,12648,5336,25974,5866,3639,67840,3683,149495,111820
66_Bee_2_8_0d,66_Bee_2_8_0d.D,7/8/2023 3:30,Bee,23,8408048,104406,1808288,123909,905313,15710,30130,1999626,11525893,172392,2017650,6252564,1910337,653997,11056875,2385,29412,33086,309639,858025,392667,142174,6343,734802,562923,131075,849639,102848,1019618,55733,786844,359960,403699,2579777,36487,5816,133041,15568,228207,32856,69676,1671621,1194422,11416,1994,1806202,53977,5610,9113,218,11562,38083,10140,2996498,6717,13754,130007,3351451,90847,352768,749194,11740,388498,2078,47560,276176,5806,16027,21257,261509,165296,92010,11125494,2131542,602868,173549,5209315,41269,384,66559,79771,4881,16740,7041906,2513608,6054,2492,293377,22616,8763,377839,406479,603888,107438
