Well,Standard,Mixed_Concentration_uM
01A,3Hmg,16190
01B,3Hmg,8095
01C,3Hmg,4047
01D,3Hmg,809
01E,3Hmg,162
01F,3Hmg,32
02A,Fumarate,4686
02B,Fumarate,2343
02C,Fumarate,1172
02D,Fumarate,234
02E,Fumarate,47
02F,Fumarate,9
02G,Fumarate,7029
03A,Citrate,28953
03B,Citrate,14476
03C,Citrate,7238
03D,Citrate,1448
03E,Citrate,290
03F,Citrate,58
03G,Citrate,43429
04A,Malate,29085
04B,Malate,14542
04C,Malate,7271
04D,Malate,1454
04E,Malate,291
04F,Malate,58
05A,Pyruvate,52708
05B,Pyruvate,26354
05C,Pyruvate,13177
05D,Pyruvate,2635
05E,Pyruvate,527
05F,Pyruvate,105
06A,Lactate,35695
06B,Lactate,17848
06C,Lactate,8924
06D,Lactate,1785
06E,Lactate,357
06F,Lactate,71
07A,Isocitrate,23914
07B,Isocitrate,11957
07C,Isocitrate,5979
07D,Isocitrate,1196
07E,Isocitrate,239
07F,Isocitrate,48
08A,Urea,29415
08B,Urea,14708
08C,Urea,7354
08D,Urea,1471
08E,Urea,294
08F,Urea,59
08G,Urea,287
09A,Kynurenine,4323
09B,Kynurenine,2161
09C,Kynurenine,1081
09D,Kynurenine,216
09E,Kynurenine,43
09F,Kynurenine,9
09G,Kynurenine,3
10A,Caffeate,416
10B,Caffeate,208
10C,Caffeate,104
10D,Caffeate,21
10E,Caffeate,4
10F,Caffeate,1
11A,Hypoxanthine,272
11B,Hypoxanthine,136
11C,Hypoxanthine,68
11D,Hypoxanthine,14
11E,Hypoxanthine,3
11F,Hypoxanthine,1
12A,a-Ketoglutarate,28407
12B,a-Ketoglutarate,14204
12C,a-Ketoglutarate,7102
12D,a-Ketoglutarate,1420
12E,a-Ketoglutarate,284
12F,a-Ketoglutarate,57
