NAME;IMAGEFILE;ROI_NUM;19F ;12C2 ;13C 12C ;14N 12C ;31P ;32S ;SE;13C 12C /12C2;ER-13C 12C /12C2;CHSQ1;TOTNUM1;TOTDEN1;STD1;NPIX;ROIAREA;ROIDIAM;ROIX;ROIY;ROI_XSTG;ROI_YSTG;14N 13C ;14N 13C /14N 12C;ER-14N 13C /14N 12C;CHSQ2;TOTNUM2;TOTDEN2;STD2;Sample;Experiment;Lm_number;Date acquired;Batch;Date Loaded;Type;Time;Label;Tissue;ratio_14N13c;delta_14N13c;atpercent_14N13c
ROI1;ElChazli-Dec-2021_10.im;1;1056.698;13671.51;863.323;54821.05;2.542177;101.6737;39544.11;0.06314758;7.734077e-05;1.339256;1553597;45005340;1;16419;156.4585;14.11415;68;193;-14702;14921;1892.438;0.03452028;2.816921e-05;2.595409;708745;11223630;1;72_13C;Replicate August;Lm_10;91221;B;231221;H1;72;13C;Host cells;3.04105121557372;2067.3483879058;3.33683937760978
ROI1;ElChazli-Dec-2021_11.im;1;981.7547;15008.36;958.7289;53838.83;2.495762;112.0221;41524;0.06387968;5.597441e-05;1.255642;2673732;77810570;1;28905;275.4391;18.72698;143;66;-14651;14958;1850.013;0.03436207;2.137256e-05;1.932195;1385603;21690830;1;72_13C;Replicate August;Lm_11;91221;B;231221;H1;72;13C;Host cells;3.04798242991881;2053.29041420308;3.32205321629684
ROI1;ElChazli-Dec-2021_12.im;1;1082.649;15840.66;1073.655;54972.97;2.722222;117.6082;41557.66;0.06777842;0.000115581;0.9399236;683361;18800760;1;6840;65.17915;9.109812;67;33;-14647;14951;1998.132;0.03634753;4.476128e-05;1.973201;367190;5417506;1;72_13C;Replicate August;Lm_12;91221;B;231221;H1;72;13C;Host cells;3.24115954900681;2229.71127551276;3.50727286265237
ROI1;ElChazli-Dec-2021_13.im;1;1132.728;14681.79;321.8138;47866.53;3.000171;96.58152;34687.5;0.02191924;7.232701e-05;0.7530214;158469;13960270;1;5833;55.58332;8.412543;19;178;-11998;14522;543.3533;0.01135143;2.867671e-05;0.7292665;93857;4281945;1;72_12C;Replicate August;Lm_13;101221;C;231221;H1;72;12C;Host cells;1.01452600344985;8.6473954129429;1.12240159025543
ROI1;ElChazli-Dec-2021_14.im;1;1728.504;13388.37;1011.732;66394.19;3.766603;119.0452;34178.89;0.07556793;5.116726e-05;14.69137;6473161;153954800;1;46376;441.9222;23.72072;123;149;-13890;1287;2791.6;0.04204584;1.686973e-05;16.26227;2346003;31044960;1;56_13C;Replicate August;Lm_14;101221;C;241221;H1;56;13C;Host cells;3.72937906125657;2736.04268395694;4.03493260682577
ROI1;ElChazli-Dec-2021_15.im;1;1078.319;13933.92;876.1712;57313.16;2.531129;95.87528;35871.04;0.06288043;4.00684e-05;15.05445;6302991;171228800;1;59752;569.3837;26.92511;125;129;-13888;1287;2109.717;0.03681035;1.492953e-05;14.00684;2617649;41628990;1;56_13C;Replicate August;Lm_15;101221;C;241221;H1;56;13C;Host cells;3.25868931291087;2270.83580233846;3.55034476031849
ROI1;ElChazli-Dec-2021_16.im;1;981.1202;9949.209;730.6623;58972.32;2.470337;65.95972;38196.77;0.07343923;5.574877e-05;9.483913;6145950;150347000;1;50989;485.88;24.87251;142;114;-13172;-12574;2410.697;0.04087844;1.682286e-05;40.37668;1862787;25365010;1;32_13C;Replicate August;Lm_16;101221;C;241221;H1;32;13C;Host cells;3.61445518939036;2632.31170297877;3.92730288900593
ROI1;ElChazli-Dec-2021_17.im;1;662.3904;13628.57;937.4987;48920.16;1.778875;81.76271;43537;0.06878921;4.921489e-05;5.580033;4129911;108957400;1;44545;424.4744;23.24774;112;155;-13176;-12577;1854.265;0.0379039;1.900169e-05;5.743944;2088044;30354240;1;32_13C;Replicate August;Lm_17;101221;C;241221;H1;32;13C;Host cells;3.34704095508892;2368.00473693558;3.65196651660752
ROI1;ElChazli-Dec-2021_18.im;1;834.3209;12683.6;843.6328;54614.07;2.101123;78.25059;38637.55;0.06651366;5.646319e-05;0.4243432;3528929;95809470;1;35086;655.6781;28.89352;100;169;-13179;-12579;2011.588;0.03683278;1.996491e-05;7.600633;1479985;22250840;1;32_13C;Replicate August;Lm_18;101221;C;241221;H1;32;13C;Host cells;3.26064898217534;2272.82885176739;3.5524320088254
ROI1;ElChazli-Dec-2021_19.im;1;782.1699;11865.77;736.8342;56404.35;1.976037;75.46912;38302.77;0.06209747;4.948108e-05;4.89391;4421623;128049200;1;45404;848.4982;32.86855;144;152;-13177;-12573;1947.68;0.03453067;1.670267e-05;6.177492;1672761;26937670;1;32_13C;Replicate August;Lm_19;101221;C;241221;H1;32;13C;Host cells;3.05312853395202;2068.2716060764;3.33781018415298
ROI1;ElChazli-Dec-2021_20.im;1;987.4949;10671.21;233.7717;50279.04;2.715968;73.62431;36624.83;0.02190677;4.156474e-05;1.689731;688303;61053840;1;24286;231.4241;17.16561;54;138;-11958;14562;566.8311;0.01127371;1.366505e-05;1.912541;283869;12958050;1;72_12C;Replicate August;Lm_20;101221;C;241221;H1;72;12C;Host cells;1.0070659004646;1.7414746988571;1.11480261373671
ROI1;ElChazli-Dec-2021_32.im;1;11839.19;27123.83;592.174;47799.36;43.73744;230.4133;49915.47;0.02183224;2.201422e-05;2.358527;909739;81122690;1;33943;634.318;28.41899;127;136;2441;15712;536.0392;0.01121436;1.182327e-05;1.218217;1005008;46033210;1;48_12C;Replicate August;Lm_32;110122;E;230122;H1;48;12C;Host cells;1.00187879746242;-3.53215363852044;1.10899921976852
ROI1;ElChazli-Dec-2021_33.im;1;4886.856;22517.04;1321.362;50580.63;17.85378;171.5302;47367.11;0.05868274;3.798532e-05;5.384441;3132152;96720270;1;38244;714.694;30.16582;148;138;-410;14210;1637.983;0.03238361;1.859193e-05;51.27614;2526708;43057090;1;48_13C;Replicate August;Lm_33;110122;E;230122;H1;48;13C;Host cells;2.88313819269289;1877.49154781103;3.13677998303019
ROI1;ElChazli-Dec-2021_34.im;1;1538.061;19273.44;1026.072;49772.16;4.64164;137.2366;50283.75;0.0532376;3.477756e-05;26.09288;3452488;119722000;1;48108;660.3546;28.99637;132;148;-14941;15191;1435.307;0.02883755;1.574221e-05;89.77351;2468113;46360340;1;72_13C;Replicate August;Lm_34;110122;E;230122;H1;72;13C;Host cells;2.59847142114402;1562.40136243544;2.80292520620088
ROI1;ElChazli-Dec-2021_35.im;1;1681.34;15377.71;828.181;45936.99;5.568078;123.1689;48651.27;0.05385595;4.532166e-05;44.54885;2426002;82541880;1;35937;671.5814;29.24182;114;107;-14936;15189;1350.142;0.02939116;1.914527e-05;78.97483;1488117;27631430;1;72_13C;Replicate August;Lm_35;110122;E;260122;H1;72;13C;Host cells;2.62337685521388;1611.59316334286;2.85519959214274
ROI1;ElChazli-Dec-2021_36.im;1;2126.96;19349.33;1209.99;51978.06;6.163651;126.8677;35454.62;0.06253398;3.832512e-05;19.60428;4193193;121519500;1;46758;873.8015;33.35504;126;148;723;-10941;1793.573;0.03450634;1.71393e-05;66.63416;2828837;45236800;1;24_13C;Replicate August;Lm_36;110122;E;260122;H1;24;13C;Host cells;3.07762850305789;2066.10972945554;3.33553753147129
ROI1;ElChazli-Dec-2021_37.im;1;1902.845;20132.98;1331.056;48096.1;5.694074;148.5447;33572.75;0.06611321;4.390156e-05;12.24084;3134445;87364160;1;36329;678.907;29.40087;128;130;782;-10960;1725.588;0.03587793;2.062535e-05;40.60888;2417797;36570560;1;24_13C;Replicate August;Lm_37;110122;E;260122;H1;24;13C;Host cells;3.17512796822565;2187.98430218113;3.46352777127905
ROI1;ElChazli-Dec-2021_38.im;1;1749.951;19282.54;1122.297;56109.68;4.857814;155.1045;46225.54;0.05820274;4.443636e-05;16.7674;2872311;90763010;1;32352;604.5858;27.74496;88;110;-14677;14992;1775.662;0.03164627;1.896585e-05;50.27208;1815427;31191440;1;72_13C;Replicate August;Lm_38;110122;E;260122;H1;72;13C;Host cells;2.7889842846668;1811.97415744402;3.06755033079013
ROI1;ElChazli-Dec-2021_39.im;1;1166.003;16023.34;347.7498;46102.91;3.345646;90.73304;42175.14;0.02170271;2.61936e-05;0.6193269;1040425;92987270;1;40339;753.8448;30.98104;116;142;-11959;14568;515.8408;0.0111889;1.103057e-05;1.442624;701394;32318270;1;72_12C;Replicate August;Lm_39;110122;E;260122;H1;72;12C;Host cells;1.0019907456744;-5.79443801037605;1.10650927180142
ROI1;ElChazli-Dec-2021_40.im;1;270.9239;14343.94;315.0346;30684.55;2.396554;112.7771;23148.55;0.02196291;3.257993e-05;0.4230875;509991;45235160;1;29484;280.9564;18.91361;146;121;2618;15704;345.9442;0.01127422;1.587594e-05;1.323943;464424;21145830;1;48_12C;Replicate August;Lm_40;160222;F;170222;H1;48;12C;Host cells;1.00250398806338;1.7867914714278;1.11485236996322
ROI1;ElChazli-Dec-2021_41.im;1;387.394;13895.95;305.5277;30454.03;2.280887;120.5947;22062.79;0.02198682;4.239581e-05;0.7645146;309489;27397970;1;17993;171.4574;14.77519;131;110;2619;15703;344.0105;0.01129606;2.041942e-05;9.520081;274868;12501490;1;48_12C;Replicate August;Lm_41;160222;F;170222;H1;48;12C;Host cells;1.02274731503094;3.72741561444934;1.11698827073105
ROI1;ElChazli-Dec-2021_42.im;1;193.6162;28769.12;1768.147;36963.18;9.476229;340.0967;27217.55;0.06145989;3.797726e-05;3.291454;1866007;58115370;1;31445;299.643;19.53247;118;68;-305;14262;1186.839;0.03210867;2.387967e-05;1.068101;2779969;45232250;1;48_13C;Replicate August;Lm_42;160222;F;170222;H1;48;13C;Host cells;2.9380728152497;1853.06136457466;3.11097879138671
ROI1;ElChazli-Dec-2021_43.im;1;295.0263;37919.65;2372.75;36668.91;21.80279;587.361;28751.74;0.06257311;4.478533e-05;10.40593;1030889;32055960;1;17484;166.607;14.56471;57;80;-306;14256;1179.237;0.03215904;3.217884e-05;3.306272;2074258;33149350;1;48_13C;Replicate August;Lm_43;160222;F;170222;H1;48;13C;Host cells;2.86059773689365;1857.53706228913;3.11570603443281
ROI1;ElChazli-Dec-2021_44.im;1;1288.878;9985.292;608.7906;27498.08;2.22753;78.20851;17631.69;0.06096874;5.304201e-05;3.622742;2146998;63315700;1;46051;438.8253;23.63746;127;100;844;-10973;932.4436;0.03390941;2.353129e-05;2.761257;1401771;22991640;1;24_13C;Replicate August;Lm_44;160222;F;170222;H1;24;13C;Host cells;3.00809476328694;2013.06866857212;3.27972714508853
ROI1;ElChazli-Dec-2021_45.im;1;1119.171;24197.15;1472.935;27243.67;12.18786;266.5686;23134.87;0.06087227;3.486681e-05;8.818152;1968706;59808020;1;43906;418.3853;23.0804;121;103;797;-11002;896.7822;0.03291709;2.384315e-05;0.876575;3233535;53120000;1;24_13C;Replicate August;Lm_45;160222;F;170222;H1;24;13C;Host cells;2.87968887512488;1924.89466904817;3.18680806415755
ROI1;ElChazli-Dec-2021_46.im;1;318.9663;49719.77;1108.105;46368.97;15.59029;535.9761;34484.17;0.022287;1.490239e-05;0.595752;1082087;95677740;1;41268;393.2475;22.37629;102;153;2563;15744;524.4194;0.01130971;1.093358e-05;0.8225322;2286463;102591800;1;48_12C;Replicate August;Lm_46;160222;F;170222;H1;48;12C;Host cells;1.02183124805748;4.94030570383774;1.11832266063498
ROI1;ElChazli-Dec-2021_47.im;1;235.6416;27912.19;2233.615;38274.73;15.47021;431.5107;17158.5;0.08002292;5.051759e-05;2.45814;1950952;46438730;1;24266;231.2335;17.15854;83;176;-13949;1319;1607.972;0.04201131;3.070288e-05;1.438808;2710045;33865860;1;56_13C;Replicate August;Lm_47;160222;F;170222;H1;56;13C;Host cells;3.87374529051723;2732.97447188466;4.03175291383217
ROI1;ElChazli-Dec-2021_48.im;1;239.2296;50746.8;3876.88;52311.52;34.23545;836.3564;39155.81;0.07639655;2.790739e-05;39.16218;4247787;108842000;1;41613;396.5351;22.46963;136;90;-13941;1324;2041.567;0.03902711;1.930183e-05;21.02713;8066431;105586300;1;56_13C;Replicate August;Lm_48;160223;F;170222;H1;56;13C;Host cells;3.50548991569315;2467.80915285514;3.75611968460963
ROI1;ElChazli-Dec-2021_49.im;1;238.1222;48544.32;4266.064;51780.84;33.09624;816.1335;35895.63;0.08787978;2.849653e-05;37.2948;5654685;125578900;1;48504;462.2002;24.25884;119;108;-13810;1437;2331.636;0.04502895;1.935761e-05;8.30951;10346060;117729700;1;56_13C;Replicate August;Lm_49;160223;F;170222;H1;56;13C;Host cells;4.02641687933344;3001.11114949215;4.30886954793937
ROI1;ElChazli-Dec-2021_5.im;1;877.7528;14015.66;1015.726;50620.68;2.207648;91.15085;36740.78;0.0724708;8.283903e-05;8.354589;1603180;40906570;1;16162;154.0096;14.00325;42;155;-411;14199;1983.888;0.03919126;3.155338e-05;3.085778;820808;11326050;1;48_13C;Replicate August;Lm_5;91221;B;221221;H1;48;13C;Host cells;3.50421627982042;2482.39493367368;3.77132267296635
ROI1;ElChazli-Dec-2021_50.im;1;308.4058;52273.8;1169.214;47456.63;15.37662;548.7062;13971.84;0.02236712;2.042302e-05;1.057218;563654;49772510;1;20976;199.8827;15.95301;76;180;2560;15741;537.4276;0.0113246;1.516918e-05;1.630074;1226272;54824770;1;48_12C;Replicate August;Lm_50;160223;F;170222;H1;48;12C;Host cells;1.00352331091978;6.26337775006447;1.11977946203073
ROI1;ElChazli-Dec-2021_6.im;1;922.5115;14291.3;879.2189;56522.58;2.294805;105.6931;41950.58;0.06152125;6.949987e-05;1.647061;1775698;53473180;1;18921;180.3004;15.15142;122;210;-14933;15100;1876.96;0.03320726;2.533041e-05;0.9385986;831785;13520290;1;72_13C;Replicate August;Lm_6;91221;B;221221;H1;72;13C;Host cells;2.94228359893747;1950.67813551248;3.21399791847676
ROI1;ElChazli-Dec-2021_7.im;1;987.499;13601.41;857.1094;55624.33;2.428227;98.53871;1077.785;0.0630162;7.831254e-05;1.557288;1514322;44669400;1;14601;139.1346;13.30983;145;209;-14932;15102;1885.702;0.03390066;2.801163e-05;3.952814;688306;10922680;1;72_13C;Replicate August;Lm_7;91221;B;221221;H1;72;13C;Host cells;3.00896547745317;2012.29117492507;3.27890966918606
ROI1;ElChazli-Dec-2021_8.im;1;906.6649;15148.51;884.0142;54121.5;2.300665;104.5422;1077.474;0.0583565;5.146824e-05;1.489111;2617045;83299480;1;27984;266.6628;18.42622;170;158;-14942;15195;1700.352;0.0314173;1.972334e-05;2.90534;1360604;23315380;1;72_13C;Replicate August;Lm_8;91221;B;221221;H1;72;13C;Host cells;2.77631428952678;1791.62870368817;3.0460329406484
ROI1;ElChazli-Dec-2021_9.im;1;924.4877;12443.52;272.1228;52526.23;2.284991;79.92246;37050.93;0.02186863;5.330835e-05;1.313999;374964;33193950;1;12639;120.4385;12.38334;180;138;-11995;14538;593.3444;0.01129615;1.855133e-05;0.9171742;171968;7863685;1;72_12C;Replicate August;Lm_9;91221;B;231221;H1;72;12C;Host cells;0.98438906554867;3.73541269196176;1.11699765425831
