Name,Acq. Date-Time,Colonization,Condition,Replicate,Batch,Type,Formate ,Acetate ,Propanoate ,Isobutanol ,Pyruvate_1 ,Butyrate ,Isovalerate ,2-Oxoisovalerate ,Diacetyl_monoxime ,Carbonate ,Lactate ,Benzoate ,Unknown_8_62 ,Pyruvate_3 ,C5/6_acid ,Maleate ,Succinate ,Anthranilate ,Fumarate ,a_Ketoglutarate_1 ,a_Ketoglutarate_2 ,3_HMG ,Compound_53 ,Malate ,4_Hydroxybenzoate ,a_Ketoglutarate_3 ,Citrate 
1_1,3/16/2022 19:27,Sn,Cit,1,A,Sample,237251,517653,200556,749684,95,22948,1099924,9446,235,664368,1321,7271,530,,1370,332,6982,148,2550,184,,64,65236,686,46553,94,435243
1_1b,3/16/2022 19:45,Control,Cit,1,A,Sample,242534,447572,202802,97432,50,18628,1089551,149,366,674719,2767,4244,702,8,27,336,470,109,1755,19,,4,78649,91,54466,,774333
1_2,3/17/2022 18:49,Sn,Cit,2,B,Sample,152526,405468,155046,969117,88,22745,775176,8932,213,204234,789,5690,305,8,1027,165,11349,78,1766,122,95,,42440,425,29584,60,262368
1_2b,3/17/2022 18:30,Control,Cit,2,B,Sample,160467,310464,145499,62060,100,13792,711580,104,186,202310,837,2250,275,,9,115,2835,131,653,,,31,9241,49,11289,,115282
1_3,3/23/2022 22:50,Sn,Cit,3,C,Sample,176511,349795,177692,75276,,26643,768362,205,267,216324,1438,6302,350,,226,219,3099,57,1689,125,,26,54837,306,40761,47,350721
1_3b,3/23/2022 22:32,Control,Cit,3,C,Sample,286922,399076,155903,66721,102,16911,694802,134,162,190017,1339,3439,282,34,18,196,386,304,2891,,,136,98980,134,51182,24,606151
1_4,3/16/2022 13:27,Sn,Cit,4,A,Sample,220682,435146,214486,106621,60,30250,986583,1866,417,750345,1494,3463,423,3,479,78,7535,95,1443,307,,10,112579,462,88821,98,1022402
1_4b,3/16/2022 13:46,Control,Cit,4,A,Sample,310748,786547,212426,99283,113,21358,1212643,177,315,703686,1980,3368,64,,9,77,202,85,3428,296,,24,94993,36,71867,,1117645
1_5,3/17/2022 21:52,Sn,Cit,5,B,Sample,181672,433699,158427,90948,77,24195,812859,888,254,204112,821,5362,411,12,250,205,4674,66,1383,203,172,,88248,380,42396,49,558173
1_5b,3/17/2022 21:34,Control,Cit,5,B,Sample,182091,459978,152316,60404,65,14233,802249,94,240,195535,888,1974,461,12,10,202,237,127,1620,,,53,79117,267,32557,,505402
1_6,3/23/2022 19:11,Sn,Cit,6,C,Sample,186471,974761,186217,89905,29,20197,846050,571,376,324933,1479,4335,332,,37,127,6607,150,2968,114,,,126405,439,59104,22,869891
1_6b,3/23/2022 18:53,Control,Cit,6,C,Sample,171623,375779,153516,59990,57,14874,568604,130,172,283653,946,2884,327,,8,74,175,66,362,151,,,59362,172,33682,,549872
14_4,3/16/2022 14:04,Sn,Mal,4,A,Sample,205284,476685,193507,124330,1092,23818,1032976,5422,315,650552,1425,13717,1247,11,874,202,3372874,343,8140180,2717,1908,55,120443,3675127,88954,373,970
14_4b,3/16/2022 14:22,Control,Mal,4,A,Sample,259057,547060,195061,77242,99,18561,1069609,181,302,652886,2191,4118,257,4,13,451,857,126,126533,,5,,68756,4111027,68237,16,137
14_5,3/17/2022 14:05,Sn,Mal,5,B,Sample,192459,444827,164490,86100,844,23604,858928,5126,169,553886,983,9973,961,,687,145,1986473,162,4609163,2385,1806,,75427,2105071,49488,472,204
14_5b,3/17/2022 13:47,Control,Mal,5,B,Sample,240934,520401,174954,71476,88,17505,958442,136,292,582901,1670,4318,451,,23,383,1849,129,97146,,,37,43305,3155558,45061,45,956
14_6,3/23/2022 17:58,Sn,Mal,6,C,Sample,196059,449146,195624,94998,1801,25349,933430,3834,132,347213,1303,11165,1036,413,630,180,2033952,353,6042733,2804,2807,44,93159,2497858,62110,381,230
14_6b,3/23/2022 17:39,Control,Mal,6,C,Sample,281175,538514,195048,80384,44,23038,938887,170,244,345862,1828,5029,821,4,11,384,1034,195,99673,,,57,55486,3694769,50386,,179
15_4,3/16/2022 14:41,Sn,Suc,4,A,Sample,225780,504327,205987,156185,1020,24866,1146293,5520,375,669995,1407,9811,1128,,543,63,14129116,539,2389933,46701,20955,,125331,43132,84741,4654,425
15_4b,3/16/2022 14:59,Control,Suc,4,A,Sample,244224,529604,190285,76847,78,18177,1040610,145,385,613137,1477,4877,410,,12,90,14594433,478,3318,,38,,98583,380,72558,4,135
15_5,3/17/2022 17:17,Sn,Suc,5,B,Sample,173401,405795,157898,88744,2269,21712,734422,7462,293,199413,1570,7948,1015,,548,28,12287907,265,1154473,24595,15980,,62686,17371,36783,3173,179
15_5b,3/17/2022 16:59,Control,Suc,5,B,Sample,178324,397383,152325,58489,59,14325,748734,132,185,196539,767,2480,370,3,11,,12938608,272,2176,,,,59099,60,28374,6,500
15_6,3/23/2022 16:08,Sn,Suc,6,C,Sample,200499,499020,197975,117377,3254,25189,959984,2696,375,346118,1066,11095,1180,689,294,40,13583394,203,1756231,48477,25347,315,157410,25434,64354,5004,419
15_6b,3/23/2022 15:49,Control,Suc,6,C,Sample,230263,487311,202281,80073,66,19874,922309,16,315,351365,1331,4269,488,,13,15,12988749,343,2570,414,,71,54805,353,38299,6,720
16_4,3/16/2022 15:17,Sn,Fum,4,A,Sample,250344,563423,230342,157094,1855,26608,1309034,704,335,715874,1968,10877,1393,,453,12906,2461516,415,25275591,117775,59296,32,138414,1757411,116688,13020,365
16_4b,3/16/2022 15:36,Control,Fum,4,A,Sample,306047,622448,232522,94813,91,23046,1348016,204,501,698075,2734,4880,730,7,17,24360,5406,224,36274481,,,,142395,6483,88689,44,113
16_5,3/17/2022 21:15,Sn,Fum,5,B,Sample,151025,339923,151901,69053,1341,21097,763361,435,129,191035,790,7597,1184,,246,3135,3002197,251,17972297,30555,18369,27,102126,705050,47739,3198,103
16_5b,3/17/2022 20:57,Control,Fum,5,B,Sample,182409,396584,153229,60327,80,13983,758670,107,300,188533,923,2939,322,18,13,13177,3336,70,26803891,,,,57465,2960,33049,8,117
16_6,3/23/2022 22:14,Sn,Fum,6,C,Sample,187725,458056,188460,101586,898,23675,839263,422,166,216241,1281,8572,1068,755,224,9420,819583,388,23591528,125696,45459,42,169196,1056526,95777,8407,820
16_6b,3/23/2022 21:56,Control,Fum,6,C,Sample,223863,448568,186934,73027,752,21024,882336,155,281,216178,1430,4758,398,540,39,15789,18233,109,33600731,,,245,163001,5548,76066,52,343
2_1,3/16/2022 20:03,Sn,Cit_3Hmg,1,A,Sample,212588,4420239,205716,849480,92,25615,1143984,151,426,659201,1332,11859,708,3,89,105,5148,272,1611,132,24,304441,103301,431,59816,47,325502
2_1b,3/16/2022 20:22,Control,Cit_3Hmg,1,A,Sample,248294,537954,192144,93194,63,18769,1106934,181,203,642723,1558,4012,1378,,9,368,293,257,1546,,,2137232,162864,48,63273,43,946463
2_2,3/17/2022 17:54,Sn,Cit_3Hmg,2,B,Sample,165002,5763533,167985,880137,67,26151,867105,55,260,211895,728,7666,432,6,62,,5396,130,1083,226,,114902,78630,337,39631,110,130041
2_2b,3/17/2022 17:35,Control,Cit_3Hmg,2,B,Sample,228347,472518,174451,84136,56,17134,901603,147,300,228710,1021,3342,490,11,8,253,14474,148,1480,,,2485942,183373,149,52481,56,563719
2_3,3/23/2022 16:44,Sn,Cit_3Hmg,3,C,Sample,215071,3014165,214899,127732,171,29087,927771,155,267,374168,1089,8598,378,54,173,169,5311,243,712,128,,926824,154479,282,53997,73,341743
2_3b,3/23/2022 16:26,Control,Cit_3Hmg,3,C,Sample,225288,430378,201772,81529,63,20020,918044,237,143,360952,1211,3758,465,3,18,309,1618,236,1624,,,3668532,312020,95,75588,51,892548
21_4,3/16/2022 15:54,Sn,Pyr,4,A,Sample,226646,16207593,217629,209723,1776822,68221,1326369,389276,1161782,675545,70686,25680,10796,320896,127074,73,2307,301,11565,91,49,27,98550,213,67784,,129
21_4b,3/16/2022 16:12,Control,Pyr,4,A,Sample,274825,1574697,235642,92076,8938542,187792,1307247,1813,3157157,754789,1668,6768,31547,915251,73,261,824,359,4169,,,34,66626,95,64377,,107
21_5,3/17/2022 20:39,Sn,Pyr,5,B,Sample,229674,12779396,160321,118736,2093826,59494,906293,202503,948314,198955,62941,13117,7463,271792,52978,32,1110,178,770,33,64,42,46616,47,30228,,117
21_5b,3/17/2022 20:20,Control,Pyr,5,B,Sample,169497,839924,157700,59850,5568661,70392,831423,1017,1982125,203112,2550,3544,14505,457886,20,126,303,525,13568,,,158,29454,48,25095,,206
21_6,3/23/2022 23:27,Sn,Pyr,6,C,Sample,373861,7638827,202277,100243,6760913,81845,1053642,148402,4459852,234216,8212,9311,17930,821601,28248,102,898,316,7249,132,49,23,85272,140,63274,,581
21_6b,3/23/2022 23:09,Control,Pyr,6,C,Sample,242905,1298256,200130,79053,8685622,92175,1057363,2555,5491429,239161,1730,5163,22181,846396,46,187,400,295,4241,,,60,71866,28,60056,,512
23_4,3/16/2022 17:36,Sn,Cit_Ace,4,A,Sample,293207,5291935,202042,107607,105,23464,943136,145,273,666420,6036,5595,89,10,48,50,1522,109,1242,,,11,41450,246,38652,,323175
23_4b,3/16/2022 17:55,Control,Cit_Ace,4,A,Sample,202410,13709747,183057,69866,58,15828,950622,170,284,596248,1212,2207,277,,9,,250,131,1014,,,,60219,108,39510,,510083
23_5,3/17/2022 16:40,Sn,Cit_Ace,5,B,Sample,195621,8702723,168832,92886,35,20615,773674,57,195,214402,1117,5203,152,,37,,1507,86,1270,35,,33,60383,285,30649,,288474
23_5b,3/17/2022 16:22,Control,Cit_Ace,5,B,Sample,192933,13597686,172816,66879,82,18132,840679,127,212,222560,1008,1002,386,4,9,,271,18,705,179,,27,38982,190,30047,6,397070
23_6,3/23/2022 15:31,Sn,Cit_Ace,6,C,Sample,204402,16681386,205691,94261,76,21903,1092581,967,392,359352,1323,4443,563,5,33,,4315,179,3311,38,,43,101627,258,52284,,503310
