Name,Acq. Date-Time,Colonization,Condition,Replicate,Batch,Type,"2,3-Butanediol_1","2,3-Butanediol_2",Pyruvate,2-Pyrrolidinone,Urea_1,2-Ketoisocaproic_acid,L-Valine,Urea_2,Glycerol,Gaba_1,Glycine,1-Monoacetin,Succinate,L-Norleucine,Fumarate,b-Alanine,Malate,5-Oxoproline,Gaba_2,2-Isopropylmalic_acid,2-Hydroxyglutaric_acid,2-Oxoglutaric_acid,3-Hydroxy-3-methylglutaric_acid,Anthranilic_acid,4-Hydroxybenzoic_acid,Isocitric_acid_lactone,Aconitic_acid,Hypoxanthine,Citric_acid,Isocitric_acid_1,Isocitric_acid_2,p-Aminobenzoic_acid,Glucose,Glucose-13C,Pyridoxine,Glucose_oxime,Glucose_oxime-13C,Pantothenic_acid_1,Pantothenic_acid_2,Palmitic_Acid,Kynurenic_Acid,"3,4-Dihydroxyphenylglycol_1","3,4-Dihydroxyphenylglycol_2",Caffeic_acid,Kynurenine_1,Kynurenine_2,L-Tryptophan,Stearic_acid,1-Monopalmitin,"3,4-Dihydroxyphenylglycol_3",Glycerol_monostearate,Terbutaline
1_1,5/25/2022 14:41,Sn,Cit,1,A,Sample,3461,7057,12516,807,10,665,187692,217,2935978,1446,59570,238830,13588,693403,3954,14821,13429,10252,302,16624,31187,513,210,49,477457,16,68987,51,33889760,187181,46,314440,251202,12545,718509,34248,1887,7029,3877134,44089,23,20,,14,,14,,96998,110163,,69225,
1_1b,5/25/2022 15:18,Control,Cit,1,A,Sample,4516,2467,,,100,535,2174,1028,1228610,278,3360,149925,936,536331,1104,19854,184,2019,58,58,,10,342,31,262991,15,461,,28435278,99931,25,217995,4419,42,413482,860,14,8736,2849037,60101,14,102,,12,,10,,99068,101024,,64250,
1_2,7/5/2022 15:16,Sn,Cit,2,B,Sample,4593,3532,3178,485,9,399,37998,168,457630,1783,42216,75504,7557,532498,778,2897,2068,2297,11,2425,4140,84,,,51645,,6384,63,21177735,93177,,43423,48704,256,80419,6944,38,394,466598,48700,,,,21,82,10,17,67050,81464,,52225,
1_2b,7/5/2022 15:53,Control,Cit,2,B,Sample,,1785,,,38,356,644,910,873945,233,1684,61487,494,751611,501,4427,17,278,9,,29,17,47,79,37965,27,72,62,18427107,46526,29,29471,485,25,37220,16,,472,242822,35414,11,,86,9,309,9,,50082,65060,,44368,
1_3,7/6/2022 15:01,Sn,Cit,3,C,Sample,5626,4099,4803,941,,313,1957,,3027237,767,33804,277018,4310,1663699,1264,8711,2928,3977,14,3831,10635,60,20,44,236562,11,19004,32,36842732,251684,,258595,45161,464,333980,7284,119,1619,2390814,145342,,13,,97,341,12,,159361,82166,,54204,
1_3b,7/6/2022 15:38,Control,Cit,3,C,Sample,986,316,279,414,188,573,972,924,1821381,,3061,205935,1037,2044041,1305,22935,161,573,26,15,14,,128,49,273078,15,468,25,45219319,191618,,281591,3044,111,382069,253,29,1139,2813383,184526,17,,83,88,97,26,,195178,91528,,60104,
1_4,5/26/2022 0:59,Sn,Cit,4,A,Sample,3423,3833,2003,457,,776,5118,83,3001927,587,13589,271737,5218,515413,506,8330,2364,3485,21,2590,3732,46,,,239333,,3994,,30624688,130828,,228656,28032,191,231874,4664,34,11620,2462521,56891,,,168,119,58,11,25,82780,62893,,46111,356
1_4b,5/26/2022 1:36,Control,Cit,4,A,Sample,4237,2014,127,530,195,495,666,559,1536751,,1118,142529,567,168086,,8454,38,251,24,,9,13,31,38,56377,15,53,,26740718,93040,363,61839,18694,262,59409,2958,8,3376,605459,46401,,,,26,,,,67959,60306,,39569,
1_5,7/6/2022 1:34,Sn,Cit,5,B,Sample,1928,2532,866,442,14,473,1931,403,1246418,,12153,75046,2563,660520,384,4283,1137,1543,,932,2302,38,43,,41593,25,2421,54,23965590,85647,187,40883,13367,199,57950,2175,,799,341143,53048,14,123,,74,45,10,,76505,82283,380,56480,
1_5b,7/6/2022 2:11,Control,Cit,5,B,Sample,,890,,,67,497,905,1245,527950,106,1403,88139,688,988160,543,6587,83,131,,15,9,,115,19,45664,12,69,28,26279181,74231,,46226,1133,80,59241,163,24,1122,361115,51475,,50,129,9,,21,,71882,81206,,54648,
1_6,7/7/2022 1:36,Sn,Cit,6,C,Sample,853,,660,1341,82,1468,633,361,4612792,,531,377798,8138,2173155,2010,23543,2775,2165,24,1134,1130,28,51,,217826,10,2469,45,49240601,195202,184,235447,22896,166,233938,4199,45,2068,2150175,161230,,,111,160,,,,208933,103100,,69013,
1_6b,7/7/2022 0:47,Control,Cit,6,C,Sample,3326,3866,5208,535,12,604,1897,271,1469021,,37424,211650,8650,1901665,1679,10854,4222,6344,,3705,9935,111,32,29,240117,,24945,,46833943,308665,286,238048,163453,30562820,598422,50843,10535725,2147,2933800,214083,,,77,475,,14,64,233746,108596,,76556,
10_1,5/25/2022 23:33,Sn,Cit_Glc,1,A,Sample,3091,,431,,,448,3752,,91396,317,6712,6755,862,13836,274,391,265,567,13,298,423,12,15,15,5595,17,425,26,4512163,2511,24,3392,44175,2087119,9693,5480,261585,206,27473,43453,,17,48,455,58,,,79533,77935,,53184,
10_1b,5/26/2022 0:10,Control,Cit_Glc,1,A,Sample,1749,1884,,,305,317,1262,1128,1773557,449,1743,215069,721,548929,1233,18922,,693,21,,8,,26,,349235,,167,68,34229172,132432,,327545,28921,22866786,740019,8577,7817774,12751,3692491,72697,11,124,121,232,100,46,,96039,73067,,52882,
