"qPCR_tag","Target","Ct","SD","Median","Calibration","Cage","Bee_exp","Extraction","Sample_ID","diet","Condition"
"AA10FH4","16S",18.7257506052653,0.460087116803518,18.7670269012451,"C2019","H","F","A","A10FH4","P","Gi (P)"
"AA11EF5","16S",16.8131891886393,0.525553954317066,17.0720558166504,"C2019","F","E","A","A11EF5","P","Sn/Gi (P)"
"AA12FF5","16S",16.2419459025065,0.369517625349632,16.2504692077637,"C2019","F","F","A","A12FF5","P","Sn/Gi (P)"
"AA13FG1","16S",18.7149759928385,0.402657321014421,18.4846057891846,"C2019","G","F","A","A13FG1","S","Gi"
"AA15EH9","16S",18.6530615488688,0.860829024742388,18.4319362640381,"C2019","H","E","A","A15EH9","P","Gi (P)"
"AA1EC8","16S",22.2358601888021,6.98056367542539,18.2612323760986,"C2019","C","E","A","A1EC8","S","Sn"
"AA2DG2","16S",18.6327597300212,0.256854826395074,18.6835136413574,"C2019","G","D","A","A2DG2","S","Gi"
"AA3EG6","16S",20.4738038380941,0.463227098046427,20.5672931671143,"C2019","G","E","A","A3EG6","S","Gi"
"AA4ED3","16S",16.6118755340576,0.0392800067898411,16.5988349914551,"C2019","D","E","A","A4ED3","P","Sn (P)"
"AA5EA4","16S",29.9247722625732,0.512147173506112,30.1574211120605,"C2019","A","E","A","A5EA4","S","MD"
"AA6FC5","16S",19.2661844889323,0.130455116845697,19.261682510376,"C2019","C","F","A","A6FC5","S","Sn"
"AA7EG1","16S",20.3980242411296,0.483195400421484,20.2890491485596,"C2019","G","E","A","A7EG1","S","Gi"
"AA8FE1","16S",17.8564891815186,0.188651603206947,17.8875980377197,"C2019","E","F","A","A8FE1","S","Sn/Gi"
"AA9DG8","16S",19.8793354034424,0.176825131863703,19.9002532958984,"C2019","G","D","A","A9DG8","S","Gi"
"AA10FH4","Actin",22.2312132517497,0.351539795000464,22.1426849365234,"C2019","H","F","A","A10FH4","P","Gi (P)"
"AA11EF5","Actin",22.3326307932536,0.414885539279403,22.4207515716553,"C2019","F","E","A","A11EF5","P","Sn/Gi (P)"
"AA12FF5","Actin",22.3083362579346,0.376401507042323,22.4104862213135,"C2019","F","F","A","A12FF5","P","Sn/Gi (P)"
"AA13FG1","Actin",22.0445448557536,0.283618309203989,22.1259899139404,"C2019","G","F","A","A13FG1","S","Gi"
"AA15EH9","Actin",21.6031373341878,0.505521734079244,21.8109912872314,"C2019","H","E","A","A15EH9","P","Gi (P)"
"AA1EC8","Actin",22.3038190205892,0.249941579969909,22.2614707946777,"C2019","C","E","A","A1EC8","S","Sn"
"AA2DG2","Actin",22.035275777181,0.307184503066877,21.9768390655518,"C2019","G","D","A","A2DG2","S","Gi"
"AA3EG6","Actin",22.1295051574707,0.191771373339352,22.1931324005127,"C2019","G","E","A","A3EG6","S","Gi"
"AA4ED3","Actin",21.3029759724935,0.0675012836235482,21.2812614440918,"C2019","D","E","A","A4ED3","P","Sn (P)"
"AA5EA4","Actin",21.8070208231608,0.202918493611556,21.8950614929199,"C2019","A","E","A","A5EA4","S","MD"
"AA6FC5","Actin",22.0868504842122,0.0918641909311363,22.1120319366455,"C2019","C","F","A","A6FC5","S","Sn"
"AA7EG1","Actin",22.0418287913005,0.119649652437663,22.0434608459473,"C2019","G","E","A","A7EG1","S","Gi"
"AA8FE1","Actin",22.1782805124919,0.370091567459333,22.3013038635254,"C2019","E","F","A","A8FE1","S","Sn/Gi"
"AA9DG8","Actin",22.0722821553548,0.772349084545706,22.221170425415,"C2019","G","D","A","A9DG8","S","Gi"
"AAF1FC1","Ga",NA,0,NA,"C2019","C","F","F","F1FC1","S","Sn"
"AAF2FC6","Ga",NA,0,39.6105842590332,"C2019","C","F","F","F2FC6","S","Sn"
"AAF3FD1","Ga",NA,0,NA,"C2019","D","F","F","F3FD1","P","Sn (P)"
"AAI14DH6","Ga",22.9151706695557,0.0168577976623583,22.9164905548096,"C2019","H","D","I","I14DH6","P","Gi (P)"
"AAI15DA9","Ga",NA,0,NA,"C2019","A","D","I","I15DA9","S","MD"
"AAI16DG9","Ga",23.2239214579264,0.10380743359373,23.2835712432861,"C2019","G","D","I","I16DG9","S","Gi"
"AAI17DG6","Ga",22.0375639597575,0.624847856348918,22.3927726745605,"C2019","G","D","I","I17DG6","S","Gi"
"AAI18DH8","Ga",21.232458114624,0.969103051891543,21.6161842346191,"C2019","H","D","I","I18DH8","P","Gi (P)"
"AAI19CB7","Ga",NA,0,NA,"C2019","B","C","I","I19CB7","P","MD (P)"
"AAI20CD4","Ga",NA,0,NA,"C2019","D","C","I","I20CD4","P","Sn (P)"
"AAI21CF1","Ga",24.6683807373047,0.0987868546632815,24.666223526001,"C2019","F","C","I","I21CF1","P","Sn/Gi (P)"
"AAI22CA8","Ga",NA,0,NA,"C2019","A","C","I","I22CA8","S","MD"
"AAI23CC6","Ga",NA,0,NA,"C2019","C","C","I","I23CC6","S","Sn"
"AAI24CE8","Ga",22.9070415496826,0.0256238857523497,22.9160671234131,"C2019","E","C","I","I24CE8","S","Sn/Gi"
"AAF1FC1","Sa",19.6179599761963,0.185689298487542,19.6278762817383,"C2019","C","F","F","F1FC1","S","Sn"
